lat,lon,park,streetview_available,streetview_status,date_pulled
40.648471863148636,-74.0037754925416,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64855409698335,-74.00385554237592,Sunset Park,True,OK,2025-05-15
40.648634799999996,-74.00393609999999,Sunset Park,True,OK,2025-05-15
40.6483843,-74.00311949999998,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.648477238699876,-74.003091491824,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64855771637003,-74.00315549568855,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.648576201713894,-74.00327686332835,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64852166509119,-74.00338226364792,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.6487693,-74.00444379999999,Sunset Park,True,OK,2025-05-15
40.6487300767326,-74.00456823581655,Sunset Park,True,OK,2025-05-15
40.64867798275907,-74.00468312351438,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64861195911359,-74.0047858780258,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64858818230581,-74.00485956871736,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.648690024464045,-74.0048496480893,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64878908457632,-74.00487875115635,Sunset Park,True,OK,2025-05-15
40.6488685,-74.0040021,Sunset Park,True,OK,2025-05-15
40.64876853408708,-74.00397386826332,Sunset Park,True,OK,2025-05-15
40.648668568024405,-74.00394563652662,Sunset Park,True,OK,2025-05-15
40.64867125823384,-74.0040112865629,Sunset Park,True,OK,2025-05-15
40.64871970433901,-74.00412970485331,Sunset Park,True,OK,2025-05-15
40.64874945677706,-74.004258148615,Sunset Park,True,OK,2025-05-15
40.64876429330812,-74.00439142229726,Sunset Park,True,OK,2025-05-15
40.6488685,-74.0040021,Sunset Park,True,OK,2025-05-15
40.648917381054886,-74.00388375345594,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64896360577757,-74.00376438607184,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.648977591849764,-74.0036315760969,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.648964974283814,-74.00349866620738,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.6489201651602,-74.00337888874252,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.648863862379194,-74.00326655463671,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.64879954515769,-74.00316191128573,Sunset Park,False,ZERO_RESULTS,2025-05-15
40.648733396422415,-74.00305917077367,Sunset Park,False,ZERO_RESULTS,2025-05-15
